timestamp, name, pstate, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2022/11/13 02:40:46.974, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:46.974, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:46.975, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.225, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.225, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.225, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.226, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.476, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.476, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.477, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.477, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.727, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.727, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.728, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.728, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.978, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.978, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.979, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:47.979, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.229, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.229, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.230, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.230, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.480, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.481, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.481, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.481, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.731, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.732, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.732, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.732, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.983, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.983, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.983, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:48.983, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.234, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.234, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.234, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.234, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.485, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.485, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.485, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.486, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.736, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.736, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.737, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.737, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.987, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.987, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.988, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:49.988, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.238, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.238, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.239, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.239, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.489, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.489, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.490, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.490, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.740, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.741, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.741, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.741, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.991, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.992, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.992, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:50.992, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.242, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.243, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.243, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.243, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.493, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.494, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.494, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.494, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.745, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.745, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.745, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.745, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.996, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.996, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.996, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:51.997, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:52.247, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:52.247, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
2022/11/13 02:40:52.247, Tesla V100-SXM2-16GB, P0, 0 %, 0 %, 16384 MiB, 16155 MiB, 4 MiB
